"SubNo"	"Hemisphere"	"ScalpLocation"	"CoilOrient"	"Block"	"Trial"	"Condition"	"Corr"	"Response"	"ACC"	"RT"	"Actual.orientation"	"Annoyance"	"Pain"	"Twitches"	"Visible.twitch"	"Av.RT.Prac"	"RT.Diff"	"Task"	"Congruence"	"Axes"	"HomLocation"	"RefLocation"
"1"	"1"	"1"	"23"	"SW"	1	1	"incon_r"	"n"	"n"	"1"	0.428144	"SW"	2	0	1	0	0.4346445	-0.00650049999999996	"Flanker"	"Incong"	"NE.SW"	"FC1.2"	"23"
"2"	"1"	"1"	"23"	"SW"	1	2	"incon_l"	"c"	"c"	"1"	0.489587	"SW"	2	0	1	0	0.4339483	0.0556387	"Flanker"	"Incong"	"NE.SW"	"FC1.2"	"23"
"3"	"1"	"1"	"23"	"SW"	1	3	"cong_r"	"n"	"n"	"1"	0.419005	"SW"	2	0	1	0	0.390825	0.02818	"Flanker"	"Cong"	"NE.SW"	"FC1.2"	"23"
"4"	"1"	"1"	"23"	"SW"	1	4	"cong_l"	"c"	"c"	"1"	0.348802	"SW"	2	0	1	0	0.4105801	-0.0617781000000001	"Flanker"	"Cong"	"NE.SW"	"FC1.2"	"23"
"5"	"1"	"1"	"23"	"SW"	1	5	"incon_r"	"n"	"n"	"1"	0.374758	"SW"	2	0	1	0	0.4346445	-0.0598865	"Flanker"	"Incong"	"NE.SW"	"FC1.2"	"23"
"6"	"1"	"1"	"23"	"S"	1	6	"incon_r"	"n"	"n"	"1"	0.331807	"S"	0	0	2	0	0.4346445	-0.1028375	"Flanker"	"Incong"	"N.S"	"FC1.2"	"23"
"7"	"1"	"1"	"23"	"S"	1	7	"cong_l"	"c"	"c"	"1"	0.357099	"S"	0	0	2	0	0.4105801	-0.0534811000000001	"Flanker"	"Cong"	"N.S"	"FC1.2"	"23"
"8"	"1"	"1"	"23"	"S"	1	8	"incon_l"	"c"	"c"	"1"	0.446972	"S"	0	0	2	0	0.4339483	0.0130237	"Flanker"	"Incong"	"N.S"	"FC1.2"	"23"
"9"	"1"	"1"	"23"	"S"	1	9	"cong_r"	"n"	"n"	"1"	0.376755	"S"	0	0	2	0	0.390825	-0.01407	"Flanker"	"Cong"	"N.S"	"FC1.2"	"23"
"10"	"1"	"1"	"23"	"S"	1	10	"cong_r"	"n"	"n"	"1"	0.38757	"S"	0	0	2	0	0.390825	-0.00325499999999995	"Flanker"	"Cong"	"N.S"	"FC1.2"	"23"
"11"	"1"	"1"	"23"	"W"	1	11	"cong_l"	"c"	"c"	"1"	0.414083	"W"	1	0	2	0	0.4105801	0.00350289999999992	"Flanker"	"Cong"	"E.W"	"FC1.2"	"23"
"12"	"1"	"1"	"23"	"W"	1	12	"incon_l"	"c"	"c"	"1"	0.455727	"W"	1	0	2	0	0.4339483	0.0217787	"Flanker"	"Incong"	"E.W"	"FC1.2"	"23"
"13"	"1"	"1"	"23"	"W"	1	13	"cong_l"	"c"	"c"	"1"	0.370011	"W"	1	0	2	0	0.4105801	-0.0405691000000001	"Flanker"	"Cong"	"E.W"	"FC1.2"	"23"
"14"	"1"	"1"	"23"	"W"	1	14	"incon_r"	"n"	"n"	"1"	0.331432	"W"	1	0	2	0	0.4346445	-0.1032125	"Flanker"	"Incong"	"E.W"	"FC1.2"	"23"
"15"	"1"	"1"	"23"	"W"	1	15	"cong_r"	"n"	"n"	"1"	0.549171	"W"	1	0	2	0	0.390825	0.158346	"Flanker"	"Cong"	"E.W"	"FC1.2"	"23"
"16"	"1"	"1"	"23"	"NW"	1	16	"incon_l"	"c"	"c"	"1"	0.414855	"NW"	0	0	1	0	0.4339483	-0.0190933	"Flanker"	"Incong"	"NW.SE"	"FC1.2"	"23"
"17"	"1"	"1"	"23"	"NW"	1	17	"incon_r"	"n"	"n"	"1"	0.360615	"NW"	0	0	1	0	0.4346445	-0.0740295	"Flanker"	"Incong"	"NW.SE"	"FC1.2"	"23"
"18"	"1"	"1"	"23"	"NW"	1	18	"cong_l"	"c"	"c"	"1"	0.418152	"NW"	0	0	1	0	0.4105801	0.00757189999999996	"Flanker"	"Cong"	"NW.SE"	"FC1.2"	"23"
"19"	"1"	"1"	"23"	"NW"	1	19	"cong_r"	"n"	"n"	"1"	0.348082	"NW"	0	0	1	0	0.390825	-0.042743	"Flanker"	"Cong"	"NW.SE"	"FC1.2"	"23"
"20"	"1"	"1"	"23"	"NW"	1	20	"incon_l"	"c"	"c"	"1"	0.377339	"NW"	0	0	1	0	0.4339483	-0.0566093	"Flanker"	"Incong"	"NW.SE"	"FC1.2"	"23"
"21"	"1"	"1"	"100"	"SW"	2	1	"incon_l"	"c"	"c"	"1"	0.477663	"SW"	4	1	6	5	0.4339483	0.0437147000000001	"Flanker"	"Incong"	"NE.SW"	"Inion"	"100"
"22"	"1"	"1"	"100"	"SW"	2	2	"incon_r"	"n"	"n"	"1"	0.39135	"SW"	4	1	6	5	0.4346445	-0.0432945	"Flanker"	"Incong"	"NE.SW"	"Inion"	"100"
"23"	"1"	"1"	"100"	"SW"	2	3	"cong_r"	"n"	"n"	"1"	0.465578	"SW"	4	1	6	5	0.390825	0.074753	"Flanker"	"Cong"	"NE.SW"	"Inion"	"100"
"24"	"1"	"1"	"100"	"SW"	2	4	"incon_l"	"c"	"c"	"1"	0.443629	"SW"	4	1	6	5	0.4339483	0.00968070000000004	"Flanker"	"Incong"	"NE.SW"	"Inion"	"100"
"25"	"1"	"1"	"100"	"SW"	2	5	"cong_l"	"c"	"c"	"1"	0.549326	"SW"	4	1	6	5	0.4105801	0.1387459	"Flanker"	"Cong"	"NE.SW"	"Inion"	"100"
"26"	"1"	"1"	"100"	"W"	2	6	"cong_l"	"c"	"c"	"1"	0.419093	"W"	3	1	6	5	0.4105801	0.00851289999999993	"Flanker"	"Cong"	"E.W"	"Inion"	"100"
"27"	"1"	"1"	"100"	"W"	2	7	"incon_r"	"n"	"n"	"1"	0.508526	"W"	3	1	6	5	0.4346445	0.0738815	"Flanker"	"Incong"	"E.W"	"Inion"	"100"
"28"	"1"	"1"	"100"	"W"	2	8	"incon_r"	"n"	"n"	"1"	0.454732	"W"	3	1	6	5	0.4346445	0.0200875	"Flanker"	"Incong"	"E.W"	"Inion"	"100"
"29"	"1"	"1"	"100"	"W"	2	9	"incon_l"	"c"	"c"	"1"	0.512379	"W"	3	1	6	5	0.4339483	0.0784307000000001	"Flanker"	"Incong"	"E.W"	"Inion"	"100"
"30"	"1"	"1"	"100"	"W"	2	10	"cong_r"	"n"	"n"	"1"	0.426077	"W"	3	1	6	5	0.390825	0.035252	"Flanker"	"Cong"	"E.W"	"Inion"	"100"
"31"	"1"	"1"	"100"	"NW"	2	11	"incon_l"	"c"	"c"	"1"	0.43551	"NW"	3	2	6	5	0.4339483	0.00156170000000005	"Flanker"	"Incong"	"NW.SE"	"Inion"	"100"
"32"	"1"	"1"	"100"	"NW"	2	12	"incon_r"	"n"	"n"	"1"	0.476493	"NW"	3	2	6	5	0.4346445	0.0418485	"Flanker"	"Incong"	"NW.SE"	"Inion"	"100"
"33"	"1"	"1"	"100"	"NW"	2	13	"cong_l"	"c"	"c"	"1"	0.505948	"NW"	3	2	6	5	0.4105801	0.0953678999999999	"Flanker"	"Cong"	"NW.SE"	"Inion"	"100"
"34"	"1"	"1"	"100"	"NW"	2	14	"cong_r"	"n"	"n"	"1"	0.499408	"NW"	3	2	6	5	0.390825	0.108583	"Flanker"	"Cong"	"NW.SE"	"Inion"	"100"
